username,userid,profile_location,created_at,text,retweet_count,source,coordinates
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: ""To be a Jew means always being with the oppressed and never the oppressors."" ~ Marek Edelman

#BLM
#FreePalestine 🇵🇸
#ICC…",1,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: ""Man is evil, by nature man is a beast. People have to be educated from childhood, from kindergarten, that there should be…",4,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: The Tribulation Daily: 2017 to 2024

""Only two things are infinite: the universe and human stupidity, and I'm not sure abou…",2,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: Tribulation Daily: 2017 - 2024

Human destiny during this most critical time in Human History is being determined by the co…",6,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: @Billieresistor @MajorFactor2 Genesis 15:13-14. The 400 year Chastisement of the Tribe of Judah in America (Daughter of Bab…,1,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: I have not paid much Attention to the #markofthebeast in Revelations. But there are some strange things being said about Hy…,2,Twitter Web App,
Helena,1263553217029459968,,2020-05-21 19:32:28,RT @jimmyhawk9: Today Fareed Zakaria tried to explain why  America is so divided. He mentioned Sarah Palin as a forerunner to Trump (Blame…,2,Twitter for Android,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: The Tribulation Daily: 2017 To 2024

America will NOT survive without 100% dedication to the Truth! But does America have T…",1,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: Today Fareed Zakaria tried to explain why  America is so divided. He mentioned Sarah Palin as a forerunner to Trump (Blame…,2,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: @JaneclubOG All Racism and White Supremacy violates God's Law of Love. We should NOT ignore the impact White Supremacy in A…,3,Twitter Web App,
Madessa warren,796807749841645568,"Tacoma, WA",2016-11-10 20:12:26,@instagram What's this Instagram? We can focus on calling out racist to the Asian community  but you allow the #blm… https://t.co/N4fn6BsDbu,0,Twitter for Android,
Kathy Hickman,440400379,Ellensburg,2011-12-18 23:23:51,RT @JRF253: 7 shots in the back were deemed “within departmental policy.”  Disgraceful. #BLM,1,Twitter for iPhone,
Jim Froembling,423133376,"Sumner, Washington",2011-11-28 03:54:03,7 shots in the back were deemed “within departmental policy.”  Disgraceful. #BLM https://t.co/Jbsrqfl31r,1,Twitter for iPhone,
Sean P. Floyd (he / him),3342682019,"Seattle, WA",2015-06-23 13:38:05,"Ah, look, our local racist coffee shop is trying to stir up trouble again, this time against a poor homeless woman.… https://t.co/YwkNnPxp5r",0,Twitter Web App,
Madessa warren,796807749841645568,"Tacoma, WA",2016-11-10 20:12:26,@instagram  why do you feel it's necessary to  condone racism and murder  slander  but here I am non violent talkin… https://t.co/N6hUBQYnNX,0,Twitter for Android,
#HighRiskCT #CovidisAirborne #VaxUp #MaskUp,2740338237,Home,2014-08-12 00:04:01,@RepMaxineWaters Sleeping while Black 🥲#BreonnaTaylor #BLM #PoliceReformNow #arrestthecopswhokilledbreonnataylor,0,Twitter for iPhone,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: @mmpadellan This is so Hypocritical. Police Brutality WILL end as soon as we PURGE all GOP/MAGA Cops. They voted for the Wh…,2,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: 4.0 earthquake at 4:44 AM in LA, the city of the Angels!

WAKE UP, GOD CALLING!

#444AngelNumber
#Tribulation
#COVID19
#W…",1,Twitter Web App,
Phillip Renz,1263532724,"New York, NY",2013-03-13 04:10:41,"Get ‘em, Pop. #BLM https://t.co/9ewXbWEsms",0,Twitter for iPhone,
Adrian Starks,141286633,"Seattle, Washington",2010-05-07 17:37:24,Sad day for yet another indication that we have so much further to go tackling this inhumane monster called racism.… https://t.co/V8tCYgHBNZ,0,Twitter Web App,
Lady A,47171691,"Seattle, WA",2009-06-14 20:51:03,Let’s take the color of skin out of this...A human adult female who’s job is to protect &amp; serve. Specifically train… https://t.co/T9psuaFCJu,9,Twitter for Android,
PridePays,1223037153778622464,"Seattle, WA",2020-01-31 00:22:01,"“It’s up to all of us — Black, white, everyone — no matter how well-meaning we think we might be, to do the honest,… https://t.co/WoPpsb2G48",0,Twitter for iPhone,
Rewire,1400122454,USA,2013-05-03 16:20:03,"RT @TransformingPr4: “For the first time in 27 years, most Americans surveyed by Gallup do not trust the police.” via @Rewire_dot_org
#Whit…",1,Twitter Web App,
TransformingPrivilege,1346537482058285056,Seattle WA,2021-01-05 19:22:22,"“For the first time in 27 years, most Americans surveyed by Gallup do not trust the police.” via @Rewire_dot_org… https://t.co/ON7nlcoAJJ",1,Twitter for Android,
eric anderson,1316580705258799105,"Seattle, WA",2020-10-15 03:24:50,"Barry Brodd is painting a very grim picture of how they train police to resort to violence.
#police #BrooklynCenter… https://t.co/payeDyBWcx",0,Twitter for iPhone,
Blackstembot,1288887110943027201,,2020-07-30 17:20:30,RT @dgjohnsonm: @kare11 I don’t want to hear shit about looting and property destruction. The media needs to FOCUS on this young man and ho…,2,Pracyprac,
Jeff Davies,468759217,"Seattle, WA",2012-01-19 21:52:22,@BreeNewsome Just a reminder to @MSNBC that @carmenbest was effectively FIRED from the Seattle Police Dept for her… https://t.co/bJYRMAoi6w,0,Twitter Web App,
Sean Oliver💥,4233,"Seattle, WA",2006-08-13 20:15:14,"Sunny skies today
Daunte won't get to see it,
because cops killed him. #BLM",0,TweetDeck,
Kitchen Girl 🥕🧅🥬🧄🌈🖤,295759179,"Seattle, WA",2011-05-09 16:28:39,"#SayHisName : DANTE WRIGHT.
Watching Dante’s beautiful family on TV, seeing their pain, it’s real, it’s deep, I cr… https://t.co/GZUyHqH65g",0,Twitter for iPad,
Wear A Mask Please,1591417495,Seattle,2013-07-13 16:49:50,I just had my weekly phone meeting w/ my supervisor.  She &amp; I both lived in Mpls &amp; still have family and friends in… https://t.co/yEDCV8gkwm,0,Twitter for Android,
jamie duong 🩴🩴,1335318292978749440,SEATTLE,2020-12-05 20:21:16,"""we need to reimagine policing, in the context of reorganizing them into private equity. oh btw, #BLM"" https://t.co/g8HM9MM1wd",0,Twitter Web App,
Bob Lee MD MS 🇺🇸,757463602462793728,"Seattle, WA",2016-07-25 06:32:50,"I realized yesterday that Oscar Grant died over 12 years ago. Summarily executed by law enforcement, while handcuff… https://t.co/aga6njAORi",0,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"Across America if you are Black and want to almost guarantee being stopped, profiled, or harassed by the Police and… https://t.co/tUd3FMYbrV",1,Twitter Web App,
babakofi,18578953,"Seattle, WA",2009-01-03 13:25:46,"Cop Fired After Pulling Gun on Army Lieutenant #BLM #PoliceBrutality #DefundThePolice
https://t.co/biVMmqh2M0 https://t.co/Pmg2W7Obcf",0,Hootsuite Inc.,
Lisa Gant,1378064694087348224,Bellingham Washington,2021-04-02 19:20:06,"I am a 40 yr. old white woman, and I am sickened by the death of yet ANOTHER young black man. I hope Chauvin goes d… https://t.co/wWkzqs0ztm",0,Twitter Web App,
(((Allix DeGraff))),389621884,Seattle,2011-10-12 18:42:35,They’re pulling back use of the J&amp;J vaccine because of the very remote possibility it could cause harm. Is it reall… https://t.co/rSeBS5UHLO,0,Twitter for iPhone,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: ""Blind belief in authority is the greatest enemy of truth""!
- Albert Einstein.

#BLM
#mRNA
#MassVaccination
#Covid19
#Co…",3,Twitter Web App,
Sonji🌿🏳️‍🌈,1259479408080859137,"Seattle, WA",2020-05-10 13:44:38,"This bitch Kim Portter Gives me stormfront vibes, someone who’s been on the force for years, getting away with her… https://t.co/6BLBXigSvf",0,Twitter for iPhone,
Brandey Bailey,213924195,Home ,2010-11-10 03:25:02,"Different day, different name, same story... #blm",0,Twitter for iPhone,
mynameisanji🌞🏳️‍🌈🌊❤,16984627,"Lake Stevens, WA",2008-10-26 19:37:49,"Do white cops ever mistakenly use a gun instead of a taser on white guys they pull over for expired tabs?

Do white… https://t.co/IacKYXSwoT",0,Twitter for Android,
Howard Wright,254251243,"Colorado, USA",2011-02-18 22:54:35,"RT @LiatBenZur: Another young black man killed.  And again, the world watches.  Yes, Accidents happen. But the black community cannot keep…",3,Twitter Web App,
Iamanamerican,1290391586464059392,Paradise,2020-08-03 20:58:37,RT @dgjohnsonm: @kare11 I don’t want to hear shit about looting and property destruction. The media needs to FOCUS on this young man and ho…,2,Twitter for iPad,
DesertLoco🪆🟥♀️🖤🧡✌🏼🇺🇲,31071973,Cali,2009-04-14 06:14:34,"RT @BetsieGray: Looks like the #SummerOfLove gave birth to a bastard baby named #PsychoSpring

#Minneapolis #BLM #BurnLootMurder #Antifa

T…",2,Twitter for Android,
Tami Wolff,2963843562,Seattle WA USA,2015-01-07 20:02:02,I live in the American caste system. BIPOCs die in the American caste system. #BLM #AsianHate #WhitePrivilege… https://t.co/QBkQGvV08M,0,Twitter Web App,
Б🔺уж,1020394650920660992,"Seattle, WA",2018-07-20 19:46:57,"But until then NO JUSTICE, NO PEACE #blm #DaunteWright #DefundThePolice",0,Twitter for iPhone,
Б🔺уж,1020394650920660992,"Seattle, WA",2018-07-20 19:46:57,"Remember when Emmeline Pankhurst, one of the biggest leaders of the woman’s suffrage movement said something along… https://t.co/kprpGOeQSG",0,Twitter for iPhone,
Galileo,8983082,"Redmond, WA",2007-09-19 21:29:56,"RT @LiatBenZur: Another young black man killed.  And again, the world watches.  Yes, Accidents happen. But the black community cannot keep…",3,Twitter for iPhone,
Deborah Still Masking,1547526078,"Seattle, WA",2013-06-26 07:12:07,"@kylegriffin1 Is “accidental discharge” the new “he was having a bad day?”

#BLM #BlackLivesMatter",0,Twitter for iPhone,
Deborah Still Masking,1547526078,"Seattle, WA",2013-06-26 07:12:07,@kare11 I don’t want to hear shit about looting and property destruction. The media needs to FOCUS on this young ma… https://t.co/V4T0z4ctSm,2,Twitter for iPhone,
Karyn,3712352532,"Bellevue, WA",2015-09-28 07:41:17,@TammyKOMO @komonews “...marching through Seattle in solidarity...” talk about journalistic dishonesty... #seattle #Protests #antifa #BLM,0,Twitter for iPhone,
RC,36760113,"Seattle, WA",2009-04-30 20:18:10,"@CBSNews What a joke, the helicopter has a piece of the Wright Brothers plane... @NASA @smithsonian stop the racism… https://t.co/WaIaI0nBO5",0,Twitter for Android,
Seattle Food Geek,20793194,"Seattle, WA",2009-02-13 18:32:36,"End qualified immunity, end police brutality.

#DerekChauvinTrial #blm #DaunteWright #seattle #laserprotest… https://t.co/14p9GsJE6f",1,Twitter for Android,
Corey Lord 😷,1251299532710838273,"Bellevue, WA",2020-04-18 00:15:52,Colored people are just like us! They DO NOT deserve to be hated and ridiculed by others for being! They do great t… https://t.co/B2wpwcUVEk,0,Twitter for iPhone,
Nikita♿️,96833344,"Seattle, WA",2009-12-14 20:23:09,"NO EXCUSE FOR HIS DEATH, NONE!!! This has GOT to END!!! #BLM https://t.co/RpvNHmpztK",0,Twitter Web App,
liat benzur,73141191,"Seattle, WA",2009-09-10 15:28:49,"Another young black man killed.  And again, the world watches.  Yes, Accidents happen. But the black community cann… https://t.co/e5vr7AMkEf",3,Twitter for iPhone,
Jane of the Waking Universe 🇺🇸🩸🦷,1583533650,Seattle,2013-07-10 16:58:42,"In bad faith, the right treat property damage by protesters as an out-of-the-blue escalation.

I’m reminding us th… https://t.co/W3oQkT2XeG",0,Twitter for Mac,
Angela Smith,1179826438704230402,"Bothell, WA",2019-10-03 18:32:26,Daunte Wright’s Death &amp; America’s Broken Policing System | The Daily Soc... https://t.co/cC0QfrlQ2Z via @YouTube… https://t.co/OINAmZh9vo,0,Twitter for iPhone,
Charles Bodi - 'Community Inclusion Manager',65522292,"Victoria, BC, Canada",2009-08-14 01:14:36,"@Adam_Stirling But if the suspect pulled the replica, resulting in getting shot/killed, @vicpdcanada would be under… https://t.co/WoiJmAINbu",0,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,RT @jimmyhawk9: @breezecast @tariqnasheed Thank you for your honest response. Two wrongs don't make a right. Many Black people are resentfu…,1,Twitter Web App,
Sarah Lawton,488961865,"Lake Stevens, WA",2012-02-11 01:29:33,I’m sick to my stomach. I’m sad for mother’s of black sons who have to teach their children a different set of rule… https://t.co/YvKwTD7JKx,0,Twitter for iPhone,
DakotaKid,1902604117,"Seattle, WA",2013-09-25 02:34:03,"Get pulled over?
Play stupid games.
Win stupid prizes.
#Minnesota #blm #antifa",0,Twitter for Android,
WreckTalRaccoon,1135541815392833537,United States,2019-06-03 13:40:40,RT @mattdelacruz: New favorite shirt. Shout out to Mahogany Mommies for the shirt. Buy this and other products here: https://t.co/NWrGpO4RH…,1,WreckTalRaccoon,
Matt D.C.,23562316,"Seattle, WA",2009-03-10 05:49:19,New favorite shirt. Shout out to Mahogany Mommies for the shirt. Buy this and other products here:… https://t.co/M8BJ1fX5IK,1,Twitter for iPhone,
#HighRiskCT #CovidisAirborne #VaxUp #MaskUp,2740338237,Home,2014-08-12 00:04:01,Sorry I’ve been using the hashtag that misspelled #DaunteWright ‘s name in previous quote tweets #BLM #PoliceReformNow,0,Twitter for iPhone,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: January 2020, when Donald Trump had been briefed that #COVID19 was a DEADLY AIRBORNE DISEASE WHICH WAS ASYMTOMATIC, He bein…",5,Twitter Web App,
#HighRiskCT #CovidisAirborne #VaxUp #MaskUp,2740338237,Home,2014-08-12 00:04:01,It’s not ‘a loop’ it’s structural racism and white supremacy #maddow @maddow @MaddowBlog #BLM #DaunteWright,0,Twitter for iPhone,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: @BusyDrT Ridiculous! Jesus would NOT have taken the Vaccine!
#BLM
#ChristianityCorruptedByWhiteSupremacy
#COVID19 https://…",1,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"RT @jimmyhawk9: The Face of White Privilege!

#TrumpsSocialPlatformRules
#BLM https://t.co/OaOlqUuvOU",11,Twitter Web App,
James Johnson,1128332041949286400,Seattle,2019-05-14 16:11:36,"The Police in America are GOP/Maga!
They voted for Trump, a White Supremacist. They are psychologically and morally… https://t.co/xWf4QZC648",0,Twitter Web App,
Kince (he/him),63925145,"Seattle, WA",2009-08-08 06:54:37,"I honestly just wish we didn't keep having more and more names to say. 💔

#SayHisName #DaunteWright #BlackLivesMatter #BLM",1,Twitter for Android,
Riot at the Dojo,886393572240506880,"Bellingham, WA",2017-07-16 01:14:30,It’s murder. No qualifications or caveats. Plain and simple the police murdered an unarmed man. #DaunteWright #blm… https://t.co/mgcZYgpWB3,0,Twitter for iPhone,
Corey Lord 😷,1251299532710838273,"Bellevue, WA",2020-04-18 00:15:52,@KimMisslingdow @MoniqueR1103 @GinaMPotter1 @blackwomanvotes @KarenPurdy10 @ewjjr1 @abcrawford83 @tinagutierrez04… https://t.co/Rj4gh5rXzH,0,Twitter for iPhone,
